price_total,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,guest_satisfaction_score,num_bedrooms,distance_city_center,distance_metro,attraction_index,restaurant_index,longitude,latitude,city,district,state,country_name,Crime_Index,Safety_Index,Monthly_Average_Net_salary
259.1603753,Entire home/apt,0,0,6,0,0,0,9,98,2,2.41210328,1.344938477,727.708376,1937.710426,12.47551,41.89236,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
210.8860789,Entire home/apt,0,0,4,1,0,0,9,98,1,1.919935823,0.513025663,148.6189185,245.0798301,19.04788,47.48183,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
263.001185,Private room,0,1,2,1,0,1,9,91,1,2.117069209,0.108170878,274.2604343,735.0274483,2.37964,48.86348,Paris,Paris,Ile-de-France,France,58,42,3305.14
429.6243158,Entire home/apt,0,0,2,1,0,0,10,100,1,2.931307918,0.652474825,499.8217744,878.7123585,-0.1652,51.49646,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
124.0046597,Entire home/apt,0,0,4,1,0,0,9,100,1,2.148154797,0.780545012,119.1456632,149.1020494,23.71854,37.96155,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
220.2827665,Entire home/apt,0,0,5,1,1,0,10,100,2,1.462482047,0.548288041,97.58936977,135.3304587,23.751,37.971,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
288.2927759,Private room,0,1,2,1,1,0,10,98,1,2.066039571,0.036149101,297.3860631,756.605956,12.51795,41.88644,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
134.8104301,Private room,0,1,2,1,1,0,9,91,1,5.011282367,1.435438881,220.0211512,466.1278947,-0.15689,51.46719,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
220.8858019,Private room,0,1,2,1,0,1,8,80,1,5.700821178,0.205451389,224.6034679,519.6401404,-0.20564,51.4926,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
85.94118221,Private room,0,1,2,1,0,1,10,88,1,0.953019051,0.37061101,192.3091194,362.1742823,23.727,37.981,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
380.6675581,Entire home/apt,0,0,6,0,1,0,10,100,2,2.408443086,1.457976653,802.0875083,2221.726224,12.47458,41.89433,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
271.8947608,Private room,0,1,2,0,0,1,10,100,1,1.477592803,0.247696329,646.2872877,1018.272146,-0.10989,51.50088,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
256.9438882,Entire home/apt,0,0,4,0,0,0,10,98,1,3.933035836,0.187954274,449.0923132,1114.821042,12.4567,41.91066,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
256.2226633,Entire home/apt,0,0,2,1,0,0,10,100,1,2.757898126,1.66148836,196.0824314,238.680807,4.857,52.362,Amsterdam,Gemeente Amsterdam,North Holland,Netherlands,25.7,74.3,4502.1
1533.60857,Entire home/apt,0,0,6,1,0,1,10,88,2,1.188609507,0.148942306,463.6341918,1138.05448,2.35136,48.86722,Paris,Paris,Ile-de-France,France,58,42,3305.14
124.8580646,Entire home/apt,0,0,5,1,0,0,10,100,2,2.513580408,0.694258471,90.84384017,118.721929,23.721,37.956,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
228.3961693,Entire home/apt,0,0,4,1,0,1,9,73,1,4.229055147,1.303893805,262.6844765,594.1961614,-0.09026,51.5384,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
632.6896184,Private room,0,1,2,1,0,1,9,82,1,1.456643489,0.200257575,575.9918285,1479.737167,-0.137,51.52,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
248.1252088,Private room,0,1,5,0,1,0,10,100,2,11.82615499,0.483852903,32.87455532,42.73377543,13.48853,52.42663,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
87.01360334,Private room,0,1,2,1,0,0,10,90,1,5.015159054,0.901156058,284.2124064,545.0613847,-0.05548,51.51167,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
411.1864697,Private room,0,1,2,1,0,1,9,75,1,5.839243784,0.067489922,222.0456266,505.7057096,-0.21003,51.49823,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
222.4278368,Entire home/apt,0,0,3,1,0,0,8,88,0,3.613264491,0.250197658,296.1078383,639.4833329,2.35288,48.88907,Paris,Paris,Ile-de-France,France,58,42,3305.14
186.111069,Private room,0,1,2,1,0,0,10,97,1,4.323355482,0.479824682,87.07164119,123.8171187,13.43138,52.48563,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
438.4436351,Entire home/apt,0,0,6,1,1,0,10,70,3,1.691729656,0.329929681,168.8525965,266.6692291,16.351,48.21,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
282.0167214,Private room,0,1,2,1,0,0,10,98,1,2.810278559,0.147409108,121.150825,184.2227534,13.42999,52.49953,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
229.8879561,Private room,0,1,2,1,0,1,10,100,1,3.380764204,0.153499,96.85494035,263.5428393,-9.14836,38.74206,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
436.87462,Entire home/apt,0,0,2,1,0,1,10,97,1,4.550921432,0.442300113,276.5664716,711.5095366,-0.19218,51.515,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
263.540473,Entire home/apt,0,0,4,0,0,0,10,100,2,4.190263813,0.44555915,399.7558815,1005.362708,12.454,41.912,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
325.0745256,Private room,0,1,2,1,0,0,9,91,1,6.810854843,0.069414789,69.06643173,90.02721957,13.38551,52.46521,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
230.0187408,Private room,0,1,2,1,1,0,10,92,1,1.414377102,0.179270458,359.4365915,876.9183168,2.156,41.38,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
295.975115,Entire home/apt,0,0,4,1,0,1,10,93,1,2.64272211,1.416922275,878.3209562,3827.951635,12.47072,41.89753,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
240.5083031,Entire home/apt,0,0,2,1,1,0,9,84,0,5.66935709,0.399407664,241.5721347,510.1839036,-0.207,51.52,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
239.5694421,Private room,0,1,3,1,1,0,6,68,1,2.015574912,0.416828846,358.3825265,769.1629552,2.34657,48.8389,Paris,Paris,Ile-de-France,France,58,42,3305.14
141.1822428,Private room,0,1,2,1,1,0,10,93,1,3.656826033,0.383473244,214.7188555,376.8564078,2.19816,41.41235,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
80.21250837,Private room,0,1,2,1,0,0,9,93,1,6.469099419,1.951983697,176.0086828,392.6137772,-0.18282,51.46155,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
